horizon,model_hit,wilson_lo,wilson_hi,mom20_hit,mom5_hit,model_correct,n,model_p
5,0.5484,0.4698,0.6246,0.3871,0.4968,85,155,0.26073
10,0.5355,0.4571,0.6122,0.4387,0.4968,83,155,0.42194
15,0.4581,0.3816,0.5366,0.4839,0.5032,71,155,0.33514
20,0.4968,0.4191,0.5746,0.5161,0.4903,77,155,1.0
30,0.5355,0.4571,0.6122,0.4774,0.4839,83,155,0.42194
