sec,name,n,ma_hit20,ma_p20,ma_hit30,ma_p30,mom_hit20,mom_p20,mom_hit30,mom_p30,strat_cumret,buyhold_cumret
sz001914,招商积余,137,0.46715328467153283,0.44193968047119325,0.48175182481751827,0.6692490803596212,0.5036496350364964,0.9319149601232755,0.48905109489051096,0.7977135629736374,-0.033456752051280736,0.16427640156453638
sh603369,今世缘,139,0.460431654676259,0.35081592940624295,0.4316546762589928,0.10705794596591911,0.5251798561151079,0.5526912087941893,0.49640287769784175,0.9324053732493383,-0.35931562397084993,0.15258408531582957
sz001222,源飞宠物,44,0.5227272727272727,0.7630246005529953,0.5227272727272727,0.7630246005529953,0.5454545454545454,0.5464935954065824,0.5454545454545454,0.5464935954065824,0.22197448389190644,-0.26595744680851097
sh600085,同仁堂,139,0.4460431654676259,0.20327244639516762,0.4460431654676259,0.20327244639516762,0.49640287769784175,0.9324053732493383,0.48201438848920863,0.6714969220979272,-0.14997491941272934,0.380575945793344
sz002439,启明星辰,135,0.5111111111111111,0.7962534147376399,0.4444444444444444,0.19670560245894686,0.5333333333333333,0.43857802608100016,0.4962962962962963,0.9314137156099613,1.0306341583912055,-0.059859154929577274
sz000425,徐工机械,139,0.460431654676259,0.35081592940624295,0.39568345323741005,0.013903464190894166,0.5323741007194245,0.4452427442174436,0.48201438848920863,0.6714969220979272,0.8279898259526834,-0.29824561403509176
sh603289,泰瑞机器,102,0.49019607843137253,0.8430219763697244,0.43137254901960786,0.1656838389130031,0.5098039215686274,0.8430219763697253,0.4117647058823529,0.07470593331213049,-0.7743007554314425,-0.20478723404255572
sz002185,华天科技,139,0.45323741007194246,0.2701810957102335,0.43884892086330934,0.14932461032048971,0.45323741007194246,0.2701810957102335,0.4676258992805755,0.4452427442174436,-0.020635303107288783,2.702222222222232
sh601318,中国平安,139,0.5035971223021583,0.9324053732493383,0.5035971223021583,0.9324053732493383,0.48201438848920863,0.6714969220979272,0.49640287769784175,0.9324053732493383,2.06589342982349,0.1914667798768852
sh600036,招商银行,139,0.4748201438848921,0.5526912087941886,0.5179856115107914,0.6714969220979272,0.460431654676259,0.35081592940624295,0.460431654676259,0.35081592940624295,0.8885475031172114,1.941611234294129
sz000630,铜陵有色,133,0.41353383458646614,0.04611349865213499,0.48120300751879697,0.6646116295410058,0.48872180451127817,0.7947611906465475,0.49624060150375937,0.9309012350403771,0.7044428216686027,-0.6482542991141198
